,precaution_explicit,uncertainty_quantified,target_ref_points,limit_ref_points,environmental_emergency,fishing_emergency,management_review,no_take_areas,ecosystem_linkages
Low_Viet Nam,0,0,1,0,0,0,1,2,0
Low_Yemen,0,0,1,0,0,0,0,0,0
High_Argentina,3,5,7,7,7,7,6,6,5
High_Angola,2,0,5,0,2,0,0,3,4
High_Australia,10,7,9,7,10,10,10,7,6
High_Bangladesh,0,0,0,4,0,0,4,3,0
High_Brazil,3,4,4,0,2,0,7,4,0
High_Canada,9,10,10,8,8,9,9,5,7
High_Chile,7,9,8,8,3,8,5,5,3
High_China ,4,6,5,3,6,4,8,6,4
High_Denmark,7,9,9,9,7,8,9,8,5
High_Ecuador,4,3,3,1,7,3,3,4,2
High_Egypt,2,1,4,4,5,0,0,3,2
High_Faroes,6,6,6,6,5,6,6,6,6
High_France,6,9,9,7,7,8,9,5,5
High_Germany,7,8,9,6,7,6,8,8,3
High_Ghana,3,3,4,0,3,3,6,2,3
High_Iceland,8,7,9,7,8,9,10,4,6
High_India,4,2,4,0,5,2,8,4,5
High_Indonesia,4,4,4,0,3,0,5,5,3
High_Iran,2,3,5,4,5,1,5,4,0
High_Ireland,6,7,7,6,5,6,8,5,5
High_Italy,6,7,6,6,8,7,9,3,3
High_Japan,6,8,8,6,8,8,8,5,6
High_Latvia,6,6,6,6,3,4,6,4,5
High_Malaysia,3,1,6,0,2,6,8,6,4
High_Mexico,6,6,7,0,5,0,6,3,0
High_Morocco,4,4,3,0,8,5,9,3,3
High_Myanmar,2,0,0,0,1,1,4,3,3
High_Namibia,6,8,9,8,6,6,9,4,6
High_Netherlands,7,9,9,7,7,7,9,8,5
High_New_Zealand,8,7,9,7,8,9,10,6,6
High_Nigeria ,2,0,4,0,0,0,2,0,3
High_North Korea,2,0,0,0,0,0,2,3,2
High_Norway,6,8,9,8,10,10,6,9,5
High_Pakistan,3,1,3,0,4,2.5,4,1,4
High_Peru,5,6,7,0,8,5,5,3,5
High_Philippines,3,1,4,0,1,0,6,6,0
High_Poland,7,7,8,7,3,3,5,2,3
High_Portugal,7,8,8,8,6,7,9,4,5
High_Russia,3,6,3,0,3,1,6,4,2
High_Senegal,0,2,4,3,0,4,5,4,2
High_South Africa,9,9,10,9,6,7,9,8,4
High_South Korea,6,4,7,0,8,8,7,7,6
High_Spain,8,9,6,7,7,8,9,5,3
High_Sri Lanka,6,0,3,0,3,0,4,2,2
High_Sweden,9,6,9,9,7,5,5,6,5
High_Taiwan,4,4,3,1,8,9,7,6,5
High_Thailand,3,1,5,0,1,2,4,5,1
High_Turkey,3,1,2,0,2,2,5,4,2
High_UK,6,8,10,10,8,8,9,4,6
High_Ukraine,4,1,4,2,0,2,4,4,2
High_USA,10,9,10,9,8,9,9,6,8
High_Viet Nam,1,1,3,0,0,0,2,5,0
High_Yemen,2,2,3,0,0,3,2,3,1
