,conflict_minimized,indigenous_people,local_communities,cost_effectiveness,social_impact,industry_funding
High_Latvia,4,5,3,5,3,0
High_Malaysia,8,7,6,4,7,4
High_Mexico,6,8,7,7,7,4
High_Morocco,4,5,5,5,7,5
High_Myanmar,2,0,3,0,0,2
High_Namibia,9,5,8,9,7,7
High_Netherlands,7,8,8,8,8,4
High_New_Zealand,9,10,6,5,5,10
High_Nigeria ,2,5,3,3,3,1
High_North Korea,5,5,3,0,0,0
High_Norway,7,7,7,9,9,7
High_Pakistan,4,5,5,3,6,1
High_Peru,8,1,7,5,5,5
High_Philippines,6,10,5,4,7,3
High_Poland,5,6,5,5,5,0
High_Portugal,5,5,7,7,7,3
High_Russia,5,8,5,4,3,4
High_Senegal,4,5,6,1,0,1
High_South Africa,8,8,8,6,7,8
High_South Korea,6,5,5,5,6,2
High_Spain,5,8,8,8,8,3
High_Sri Lanka,4,2,4,3,4,0
High_Sweden,5,7,5,5,5,5
High_Taiwan,5,9,4,4,4,2
High_Thailand,2,4,5,5,5,1
High_Turkey,3,5,7,3,3,2
High_UK,7,6,7,5,9,4
High_Ukraine,5,5,4,0,0,0
High_USA,9,8,7,9,9,5
High_Viet Nam,3,5,2,4,3,3
High_Yemen,1,0,4,2,2,3
